"State","OLDSTATE"
"alabama","alabama"
"arizona","arizona"
"arkansas","arkansas"
"california","california"
"colorado","colorado"
"connecticut","connecticut"
"delaware","delaware"
"district of columbia","district of columbia"
"florida","florida"
"georgia","georgia"
"idaho","idaho"
"illinois","illinois"
"indiana","indiana"
"iowa","iowa"
"kansas","kansas"
"kentucky","kentucky"
"louisiana","louisiana"
"maine","maine"
"maryland","maryland"
"massachusetts","massachusetts:martha's vineyard"
"massachusetts","massachusetts:main"
"massachusetts","massachusetts:nantucket"
"michigan","michigan:north"
"michigan","michigan:south"
"minnesota","minnesota"
"mississippi","mississippi"
"missouri","missouri"
"montana","montana"
"nebraska","nebraska"
"nevada","nevada"
"new hampshire","new hampshire"
"new jersey","new jersey"
"new mexico","new mexico"
"new york","new york:manhattan"
"new york","new york:main"
"new york","new york:staten island"
"new york","new york:long island"
"north carolina","north carolina:knotts"
"north carolina","north carolina:main"
"north carolina","north carolina:spit"
"north dakota","north dakota"
"ohio","ohio"
"oklahoma","oklahoma"
"oregon","oregon"
"pennsylvania","pennsylvania"
"rhode island","rhode island"
"south carolina","south carolina"
"south dakota","south dakota"
"tennessee","tennessee"
"texas","texas"
"utah","utah"
"vermont","vermont"
"virginia","virginia:chesapeake"
"virginia","virginia:chincoteague"
"virginia","virginia:main"
"washington","washington:san juan island"
"washington","washington:lopez island"
"washington","washington:orcas island"
"washington","washington:whidbey island"
"washington","washington:main"
"west virginia","west virginia"
"wisconsin","wisconsin"
"wyoming","wyoming"
